                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.72026,                0.56066,                 1.0848,                0.99012,                0.98715,                0.99319,                0.83523,                 0.5571,                0.26791,                 1.0892,               0.006436,               0.006436,               0.006436
                     38,                0.71836,                0.56254,                 1.0832,                0.99035,                0.98704,                0.99318,                0.83655,                0.55516,                0.26629,                 1.0879,               0.006337,               0.006337,               0.006337
                     39,                0.71964,                0.56078,                 1.0843,                0.99041,                0.98724,                 0.9932,                0.83726,                0.55306,                0.26496,                 1.0866,               0.006238,               0.006238,               0.006238
                     40,                0.69759,                0.53439,                 1.0743,                 0.9905,                0.98723,                0.99324,                0.83775,                0.55186,                 0.2643,                 1.0858,               0.006139,               0.006139,               0.006139
                     41,                0.70877,                0.54812,                 1.0799,                0.99044,                0.98767,                0.99327,                0.83835,                0.55029,                0.26326,                 1.0849,                0.00604,                0.00604,                0.00604
                     42,                0.70956,                0.54988,                 1.0795,                0.99056,                0.98757,                 0.9933,                0.83906,                 0.5488,                0.26199,                  1.084,               0.005941,               0.005941,               0.005941
                     43,                0.71093,                0.54904,                 1.0814,                0.99085,                0.98732,                0.99326,                0.83982,                0.54696,                0.26081,                  1.083,               0.005842,               0.005842,               0.005842
                     44,                0.70355,                0.54479,                 1.0783,                0.99091,                0.98733,                0.99326,                0.84062,                0.54457,                0.25904,                 1.0817,               0.005743,               0.005743,               0.005743
                     45,                0.70706,                0.54667,                 1.0809,                0.99108,                0.98742,                0.99327,                0.84156,                  0.542,                0.25755,                 1.0805,               0.005644,               0.005644,               0.005644
                     46,                 0.7011,                 0.5398,                 1.0775,                0.99133,                0.98743,                0.99324,                0.84261,                0.53959,                0.25603,                 1.0791,               0.005545,               0.005545,               0.005545
                     47,                0.69833,                0.53926,                 1.0764,                0.99144,                0.98761,                0.99325,                0.84388,                0.53747,                0.25488,                 1.0777,               0.005446,               0.005446,               0.005446
                     48,                0.69448,                0.53122,                 1.0735,                0.99156,                0.98742,                0.99326,                0.84471,                0.53528,                0.25307,                 1.0764,               0.005347,               0.005347,               0.005347
                     49,                0.68914,                 0.5306,                 1.0705,                0.99168,                0.98751,                0.99333,                0.84559,                0.53289,                0.25136,                 1.0751,               0.005248,               0.005248,               0.005248
                     50,                0.68861,                 0.5299,                 1.0723,                0.99175,                0.98742,                 0.9933,                0.84641,                0.53049,                0.24943,                 1.0736,               0.005149,               0.005149,               0.005149
                     51,                0.68501,                0.52161,                 1.0716,                0.99161,                0.98789,                0.99337,                0.84773,                0.52803,                0.24793,                  1.072,                0.00505,                0.00505,                0.00505
                     52,                0.68357,                0.51961,                 1.0703,                 0.9916,                0.98812,                0.99337,                0.84885,                0.52551,                0.24618,                 1.0707,               0.004951,               0.004951,               0.004951
                     53,                0.67859,                 0.5162,                 1.0677,                 0.9915,                0.98842,                 0.9934,                0.84976,                 0.5228,                0.24465,                 1.0693,               0.004852,               0.004852,               0.004852
                     54,                0.67536,                0.50917,                 1.0671,                0.99169,                0.98857,                0.99342,                0.85095,                0.52008,                0.24311,                 1.0678,               0.004753,               0.004753,               0.004753
                     55,                 0.6717,                 0.5103,                 1.0633,                0.99171,                0.98865,                0.99343,                 0.8515,                0.51696,                0.24118,                 1.0663,               0.004654,               0.004654,               0.004654
